id,0,48,96,144,192,240,288,336,384,432,480,528,576,624,672,720,768,816,864,912,960,1008,1056,1104,1152,1200,1248,1296,1344,1392,1440,1488,1536,1584,1632,1680,1728,1776,1824,1872,1920,1968,2016,2064,2112,2160,2208,2256,2304,2352,2400,2448,2496,2544,2592,2640,2688,2736,2784,2832,2880,2928,2976,3024,3072,3120,3168,3216,3264,3312,3360,3408,3456,3504,3552,3600
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,2,8,4,3,2,50,33,24,7,6,8,23,27,101,10,80,1,198,19,159,332,82,109,71,160,124,38,81,48,67,53,35,35,4,29,20,0,18,1,3,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,4,8,7,5,1,18,9,10,24,27,24,23,72,108,10,58,205,15,159,17,34,131,22,99,240,33,30,90,90,75,41,37,27,20,27,23,5,16,11,5,7,10,5,4,0,1,0,0,0,0,2,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,5,5,4,12,7,8,10,16,0,8,32,55,3,13,100,124,90,2,222,73,107,68,235,59,254,24,15,42,89,42,44,54,47,35,27,24,19,3,7,11,7,4,1,3,0,4,2,2,0,1,2,0,2,0,1,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,3,1,6,10,2,18,5,0,15,0,23,30,96,35,38,45,65,0,0,0,102,211,3,126,36,24,22,76,13,17,19,52,15,40,4,2,1,18,1,12,1,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,2,0,0,1,0,1,3,4,8,5,8,10,14,24,33,118,53,92,39,64,56,206,268,390,332,373,1414,442,1437,12,249,256,143,116,65,129,157,123,57,122,92,94,68,95,72,162,52,16,62,40,16,30,21,22,19,11,12,10,8,5,2,2,0,1,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,4,9,4,3,4,8,14,6,175,69,31,21,14,95,55,17,239,50,153,589,68,30,26,17,66,34,21,43,28,16,15,18,39,1,35,7,0,1,0,1,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,6,9,5,2,26,22,12,18,2,5,8,3,1,0,6,14,16,0,7,29,29,11,3,5,8,10,6,0,5,21,96,6,1,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,4,4,67,22,3,38,5,40,107,54,13,0,69,3,0,0,24,101,7,2,15,84,16,9,5,7,14,11,6,12,1,9,73,0,0,5,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,4,5,2,5,9,5,4,2,6,24,77,86,37,21,104,187,169,107,430,25,88,104,111,148,67,58,56,46,61,105,46,42,34,25,19,49,11,62,17,13,25,5,15,11,10,6,1,2,2,0,1,0,1,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,3,3,3,8,9,5,10,16,15,3,17,1,32,73,3,49,55,217,2,27,10,18,1,12,10,54,87,23,35,25,22,24,18,3,11,0,3,2,8,1,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,4,8,4,28,36,64,17,25,61,13,100,116,83,152,125,86,12,7,3,5,49,124,54,22,41,77,41,42,19,22,15,21,19,71,27,33,9,3,4,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,2,5,6,10,14,5,32,24,202,49,0,37,5,125,23,50,428,21,4,282,31,87,73,19,61,19,32,48,33,23,20,17,16,29,0,24,7,11,8,1,8,10,1,3,7,0,0,4,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,7,5,11,3,44,5,7,33,20,112,6,50,7,11,0,1,1,0,71,39,0,40,13,30,10,40,33,30,20,14,26,9,3,1,16,3,0,3,0,28,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,3,4,6,6,16,21,46,12,19,83,34,6,32,42,89,7,162,136,291,350,39,6,22,35,58,23,57,29,57,36,38,27,17,14,21,49,13,4,4,7,32,2,11,5,1,8,0,1,0,1,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,11,5,0,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,18,0,15,17,105,13,15,26,195,9,0,24,0,1,19,9,0,8,8,11,6,8,4,2,5,1,1,5,6,0,0,1,4,3,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,3,0,0,2,67,0,17,0,0,4,23,0,6,0,0,5,0,2,1,0,3,4,3,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,6,1,14,3,11,28,2,7,13,38,106,32,0,5,0,9,4,14,29,23,4,31,23,10,11,4,10,7,5,13,8,5,6,21,6,2,0,9,0,1,0,0,5,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,23,29,19,15,22,88,9,2,169,93,44,132,61,623,0,0,0,132,38,15,6,28,16,15,7,24,11,18,12,20,15,122,11,28,10,6,6,1,4,0,1,1,3,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,3,2,2,16,1,1,38,2,2,99,17,92,7,54,0,47,64,51,1,54,22,29,38,50,25,37,21,36,28,33,12,6,19,10,0,9,1,8,6,0,1,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,4,2,0,15,26,44,157,50,118,0,3,6,35,0,0,75,0,2,11,3,2,3,1,0,1,17,58,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,1,2,3,5,3,5,4,7,7,10,22,22,22,24,43,23,7,23,69,53,83,40,187,22,421,593,590,1338,334,813,130,377,192,56,244,331,150,205,184,115,149,125,105,68,48,19,37,30,20,35,12,21,3,24,3,4,7,2,2,1,0,0,1,0,0,1,0
43,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,2,4,3,7,7,12,13,14,20,122,78,45,52,49,47,251,84,197,150,638,788,280,19,106,136,115,78,70,109,101,83,58,103,81,41,57,21,54,123,31,37,17,17,2,7,25,10,4,3,2,0,3,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,11,1,32,55,13,23,26,0,41,1,71,71,294,114,35,11,34,237,22,335,7,36,8,2,48,15,20,18,16,6,15,48,5,7,14,3,1,13,0,0,3,2,3,3,0,1,0,0,0,1,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,5,7,4,6,1,13,24,6,0,1,2,5,4,11,16,1,87,1,35,106,95,109,24,21,23,19,44,20,24,32,22,8,7,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,26,1,1,0,0,197,4,13,32,0,5,4,1,0,0,0,16,15,39,10,23,4,10,11,10,10,8,2,5,24,0,5,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,1,8,0,1,0,0,3,19,0,0,6,1,5,4,0,51,11,6,11,4,7,11,3,2,3,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,6,0,0,3,22,3,107,0,1,12,0,33,3,0,2,7,7,6,2,4,3,2,8,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
